client_id,imf_id,jours_retard_actuel,nb_incidents_paiement_12m,label_defaut_90j,score_anomalie
CLAG0200500353,2,328,12,1,-0.013263612992743035
CLAG0200500359,2,238,7,1,-0.006631548999518011
CLAG0200500945,2,343,11,1,-0.011385499898806883
CLAG0200501152,2,340,12,1,-0.0012659459588872934
CLAG0300100347,3,74,2,0,-0.010994297267829523
CLAG0200600747,2,498,12,1,-0.03401914031350095
CLAG0300401188,3,36,1,1,-0.008594865172760202
CLAG0200500714,2,310,10,1,-0.0020973628715890147
CLAG0200600536,2,537,12,1,-0.0013877770307383352
CLAG0200200463,2,29,0,0,-0.01214995566663879
CLAG0200500816,2,305,10,0,-0.032298541352888455
CLAG0300100760,3,400,12,1,-0.03475661832837185
CLAG0200600436,2,288,11,1,-0.04643323424901258
CLAG0200600919,2,486,12,1,-0.012390026563526502
CLAG0300500900,3,69,4,1,-0.028180514260632172
CLAG0100300582,1,0,1,0,-0.0330434200832298
CLAG0200100491,2,27,1,1,-0.02745421106139867
CLAG0300600980,3,287,9,1,-0.006569036801700734
CLAG0200600608,2,458,12,1,-0.03282903398408288
CLAG0200200137,2,69,4,1,-0.0029131106235895654
CLAG0200101046,2,76,4,1,-0.004063999487956549
CLAG0200201095,2,53,2,0,-0.031460258855682266
CLAG0200300073,2,58,2,0,-0.002083778546343229
CLAG0200600646,2,433,12,1,-0.0025713333688059947
CLAG0100301048,1,0,0,0,-0.01210059643300232
CLAG0300400619,3,13,2,0,-0.006014819737591215
CLAG0100200245,1,0,2,1,-0.017039707651676617
CLAG0200500308,2,220,8,1,-0.019948176106128312
CLAG0200300603,2,169,5,1,-0.011416947701877178
CLAG0200201114,2,56,3,0,-0.017227370727543323
CLAG0200600273,2,357,12,1,-0.002809919994735788
CLAG0200500772,2,277,11,1,-0.008258481387919403
CLAG0300100992,3,40,2,0,-0.0009132002922488391
CLAG0200100198,2,76,4,1,-0.019741651650612257
CLAG0100200971,1,0,0,0,-0.005072816017442472
CLAG0100400791,1,0,2,0,-0.015361641193215814
CLAG0200601036,2,428,12,1,-0.012017693312929567
CLAG0100400916,1,0,0,0,-0.008490102534318367
CLAG0100400313,1,0,2,0,-0.0025932683735362394
CLAG0200200751,2,86,3,0,-0.0026417758984688122
CLAG0200501090,2,349,12,1,-0.006221915634528563
CLAG0200500768,2,330,12,1,-0.005568870213817245
CLAG0200600905,2,530,12,1,-0.0680418913333588
CLAG0200601189,2,500,12,1,-0.006766700273218573
CLAG0200600687,2,497,12,1,-0.009042467223479567
CLAG0200600496,2,455,12,1,-0.03691278196575776
CLAG0100200350,1,0,0,0,-0.01707381014783982
CLAG0300200446,3,75,4,0,-0.04217613066357384
CLAG0100100306,1,0,1,0,-0.015589918822980664
CLAG0200600400,2,283,10,1,-0.011212493180713157
CLAG0200400106,2,140,5,0,-0.02949718191160644
CLAG0200600780,2,504,12,1,-0.03049039670343312
CLAG0200600277,2,354,11,1,-0.011463320027701451
CLAG0100400864,1,0,2,0,-0.003387405954546119
CLAG0300600078,3,286,11,1,-0.007947688845909351
CLAG0100201168,1,0,2,0,-0.01200238768433537
CLAG0100300145,1,0,0,0,-0.007921809041986916
CLAG0100400121,1,0,2,0,-0.011896446385148751
CLAG0200501048,2,352,12,1,-0.014879655276599513
CLAG0200600353,2,317,12,0,-0.03818812734832522
CLAG0100500095,1,0,0,0,-0.01016921630683354
CLAG0100200109,1,0,0,1,-0.004869497255573063
CLAG0300100810,3,145,6,0,-0.0464187295207561
CLAG0200600846,2,524,12,0,-0.007110588499483428
CLAG0200500837,2,270,10,1,-0.029003739991665944
CLAG0200601149,2,516,12,1,-0.004548321096213059
CLAG0200100119,2,85,4,1,-0.02225540635430734
CLAG0200500294,2,359,12,1,-0.022694366016823952
CLAG0200600770,2,426,12,1,-0.008210932268462035
CLAG0100200447,1,0,2,0,-0.0013331291648542853
CLAG0200600518,2,421,12,1,-0.022389522807543916
CLAG0300600944,3,129,4,1,-0.022253193688857253
CLAG0200600149,2,319,11,1,-0.027468226297551857
CLAG0200501153,2,316,11,1,-0.006605416554039456
CLAG0200600958,2,454,12,1,-0.008552532625779152
CLAG0200500331,2,245,8,1,-0.009429658084654124
CLAG0200601091,2,485,12,1,-0.005641892057708819
CLAG0200500830,2,330,12,1,-0.0014416028200975317
CLAG0200501030,2,343,12,1,-0.0010478679309707806
CLAG0200600564,2,516,12,1,-0.015293307463730588
CLAG0200601025,2,504,12,1,-0.021206885065851444
CLAG0300200827,3,148,5,0,-0.0030967332227124222
CLAG0200200889,2,65,3,0,-0.01825206793456946
CLAG0100400298,1,0,0,1,-0.008255410823780895
CLAG0200600048,2,351,12,1,-0.024174276682888518
CLAG0200200672,2,66,2,0,-0.012113360959648989
CLAG0200500719,2,347,12,1,-0.005662076069991806
CLAG0200601166,2,362,12,1,-0.00280810381356722
CLAG0300200580,3,98,5,0,-0.0035149806860819144
CLAG0200600427,2,307,10,1,-0.01890359068252978
CLAG0100300797,1,0,0,0,-0.011941969882923176
CLAG0200600761,2,524,12,1,-0.022376987235046997
CLAG0200600864,2,526,12,1,-0.007302071230577134
CLAG0200600151,2,344,12,1,-0.026836848643158495
CLAG0200600649,2,520,12,1,-0.009024037826496634
CLAG0300100924,3,117,5,1,-0.016648181376655802
CLAG0300600289,3,262,8,1,-0.011244334582038662
CLAG0200200678,2,82,4,0,-0.00389992960272334
CLAG0200600603,2,504,12,0,-0.012779705399664887
CLAG0100300643,1,0,1,0,-0.02823900876284724
CLAG0200600086,2,291,9,1,-0.005845841671316188
CLAG0300100903,3,14,0,0,-0.04224699064766613
CLAG0200500648,2,327,11,1,-0.015892256360461876
CLAG0100401082,1,0,0,0,-0.015019032262993726
CLAG0100201153,1,0,0,0,-0.03360145038659179
CLAG0100300927,1,0,0,0,-0.0750217664720626
CLAG0300100318,3,131,6,0,-0.01079909616931396
CLAG0100400946,1,0,1,0,-0.06854210711869635
CLAG0200100649,2,75,4,0,-0.004810815135872892
CLAG0300200157,3,124,5,1,-0.011549672091905494
CLAG0200300215,2,11,0,0,-0.03194940030593396
CLAG0300600991,3,63,2,1,-0.014783253639194194
CLAG0300600140,3,76,2,0,-0.004242518425302211
CLAG0200600778,2,540,12,1,-0.04722845720497815
CLAG0300100988,3,44,3,0,-0.005521505485877931
CLAG0200600175,2,355,12,1,-0.0017263364314256124
CLAG0300100442,3,26,0,0,-0.012328479118509539
CLAG0300100070,3,33,3,0,-0.029515193551979735
CLAG0100100256,1,0,2,0,-0.010051979837765068
CLAG0200600097,2,290,10,1,-0.008494152824898182
CLAG0200600623,2,508,12,1,-0.02026824822571771
CLAG0100200829,1,0,0,0,-0.010225826901772983
CLAG0100400075,1,0,0,0,-0.0002506809470813609
CLAG0100200969,1,0,2,1,-0.014718379603219867
CLAG0300100449,3,133,4,1,-0.000764643831130396
CLAG0100200543,1,0,1,0,-0.013609903582512461
CLAG0300100428,3,23,0,0,-0.006209304050980968
CLAG0200600855,2,529,12,1,-0.01809078784675011
CLAG0100300814,1,0,0,0,-0.09313854629522589
CLAG0100600979,1,80,4,0,-0.0055190208352058345
CLAG0200600461,2,321,11,1,-0.02205649157323264
CLAG0200301032,2,169,7,1,-0.0047982655215168535
CLAG0200100451,2,43,2,0,-0.043410456160555055
CLAG0200200763,2,69,2,0,-0.02927913246900915
CLAG0200600292,2,291,10,1,-0.0281180104494706
CLAG0300500113,3,71,4,0,-0.004587206314901282
CLAG0300100510,3,76,3,0,-0.002418964954448599
CLAG0200300666,2,153,5,1,-0.029464661478100784
CLAG0200501010,2,351,11,0,-0.005078029391559213
CLAG0100200625,1,0,2,0,-0.009848683820283366
CLAG0200500576,2,321,11,1,-0.013557884684111121
CLAG0200300817,2,162,6,1,-0.01747144727343941
CLAG0200600850,2,407,12,1,-0.004864666074293922
CLAG0200200158,2,88,4,0,-0.004269652354456088
CLAG0200500394,2,318,11,0,-0.029652797631731675
CLAG0300100717,3,86,2,0,-0.044178429925235685
CLAG0200600682,2,504,12,0,-0.005875093758478611
CLAG0300600134,3,145,6,0,-0.01683027406313309
CLAG0200601171,2,481,12,1,-0.016208179364973097
CLAG0100300258,1,0,2,0,-0.0009017290248976018
CLAG0100200339,1,0,1,1,-0.002092037194947771
CLAG0200500955,2,331,12,1,-0.03252899902160722
CLAG0200601060,2,507,12,0,-0.0468264843927676
CLAG0200101101,2,54,3,0,-0.01763389839283147
CLAG0200600316,2,322,10,1,-0.023800012335522314
CLAG0200401051,2,105,5,1,-0.02417522186476284
CLAG0200601050,2,511,12,0,-0.05530500289348894
CLAG0100300197,1,0,0,0,-0.010216879625028263
CLAG0200200985,2,89,3,0,-0.07262638231115615
CLAG0200601093,2,393,12,1,-0.036036863907843886
CLAG0100200134,1,0,0,1,-0.002089723033497526
CLAG0200400737,2,163,6,1,-0.025930310438002424
CLAG0200200532,2,75,2,0,-0.03709586947884358
CLAG0300100208,3,81,3,0,-0.015019126005824557
CLAG0300100173,3,161,6,0,-0.0033863323194667228
CLAG0300500642,3,68,4,0,-0.008831464994708105
CLAG0300200572,3,131,4,1,-0.020513535583330356
CLAG0200100527,2,2,2,0,-0.006778097736909072
CLAG0300600812,3,101,4,0,-0.0006864649087657826
CLAG0300201035,3,7,2,0,-0.006319268337002137
CLAG0200600995,2,491,12,1,-0.03940902753053721
CLAG0200500584,2,349,12,1,-0.013012617605194787
CLAG0200600609,2,518,12,1,-0.025095797203390724
CLAG0200600220,2,348,12,1,-0.016798724357586226
CLAG0300601197,3,66,4,1,-0.036218371273296635
CLAG0100300147,1,0,0,0,-0.020202103390475123
CLAG0300100892,3,49,3,0,-0.015585274074289224
CLAG0200101169,2,18,0,0,-0.01497516935019394
CLAG0200300195,2,12,1,0,-0.016908239570238015
CLAG0200600920,2,467,12,1,-0.012985422076506437
CLAG0200600858,2,536,12,1,-0.03785006097107324
CLAG0300500144,3,155,6,1,-0.03487342772318536
CLAG0200600639,2,520,12,1,-0.019294599532924783
CLAG0200100062,2,19,1,1,-0.01317994244728704
CLAG0200600451,2,341,12,1,-0.06346655399241041
CLAG0200600955,2,404,12,1,-0.015449220347708681
CLAG0200600226,2,338,11,1,-0.06547742710095339
CLAG0200200982,2,19,0,0,-0.011667277262655706
CLAG0300600561,3,152,7,0,-0.011507506830750636
CLAG0200600929,2,539,12,1,-0.03632910842479631
CLAG0200301144,2,142,6,1,-0.05474007218813404
CLAG0100200828,1,0,1,1,-0.033905374750380135
CLAG0200600156,2,290,11,1,-0.00035861901293376963
CLAG0200500534,2,239,7,1,-0.00806738407429719
CLAG0200600828,2,448,12,1,-0.001760458336404369
CLAG0300100182,3,8,0,0,-0.0038948455346683453
CLAG0200600449,2,356,12,1,-0.003417962852524048
CLAG0200200061,2,84,2,0,-0.009224032604988164
CLAG0200600638,2,492,12,1,-0.00714672421103868
CLAG0200600798,2,539,12,1,-0.010547049497618088
CLAG0200601020,2,482,12,0,-0.0066590508923654035
CLAG0200500838,2,340,11,1,-0.018041754302399182
CLAG0300500427,3,7,1,0,-0.04553606602135685
CLAG0200600114,2,252,9,1,-0.00915645944874055
CLAG0200600624,2,528,12,1,-0.007134470879320731
CLAG0300200091,3,37,3,0,-0.0016514681990114077
CLAG0200600952,2,386,12,0,-0.01990635869022661
CLAG0200501017,2,346,12,1,-0.00965296139209959
CLAG0200600857,2,540,12,1,-0.01670540820706745
CLAG0200600779,2,492,12,1,-0.02530715606776035
CLAG0200600246,2,304,10,1,-0.021372387841003815
CLAG0200601069,2,474,12,1,-0.008623974684252467
CLAG0200100532,2,76,4,1,-0.0153918536919474
CLAG0200600776,2,539,12,1,-0.011225730904808162
CLAG0200400744,2,122,6,0,-0.006976764065339758
CLAG0200600653,2,518,12,0,-0.013463876853621937
CLAG0200200916,2,84,2,1,-0.0017704425775044719
CLAG0200501093,2,237,7,0,-0.009359581252976756
CLAG0100500250,1,8,0,0,-0.026466538653041605
CLAG0100400130,1,0,1,0,-0.015421244211583085
CLAG0200600908,2,369,12,1,-0.004773054005002497
CLAG0200500804,2,191,7,1,-0.009779116312815805
CLAG0200600710,2,531,12,1,-0.01278023646156834
CLAG0100200379,1,0,1,0,-0.03405971984721068
CLAG0200201153,2,84,2,0,-0.0031014685507062545
CLAG0200600945,2,517,12,1,-0.006773998403497239
CLAG0200200877,2,31,1,0,-0.06032425082389237
CLAG0200200091,2,75,2,0,-0.02192973269102183
CLAG0200200644,2,75,2,0,-0.005027432009385602
CLAG0300100276,3,103,4,0,-0.016857280879959857
CLAG0200200632,2,65,3,0,-0.04543087816368441
CLAG0100200251,1,0,1,0,-0.024797325553266303
CLAG0200600310,2,354,12,1,-0.027930445004390347
CLAG0200300262,2,88,3,0,-0.0169258349057948
CLAG0200600357,2,233,7,1,-0.05850242182794552
CLAG0200601178,2,400,12,1,-0.06024647817755191
CLAG0300100785,3,44,1,0,-0.04659434733347567
CLAG0200500808,2,314,10,1,-0.005555795704057065
CLAG0100100621,1,0,0,0,-0.006556120809515731
CLAG0100400425,1,0,0,0,-0.017281468833258318
CLAG0200600456,2,279,11,1,-0.0036409871494176294
CLAG0300600274,3,201,8,1,-0.014918663168553725
CLAG0300100578,3,67,4,0,-0.011536063177339018
CLAG0300600046,3,203,6,0,-0.012162412335464556
CLAG0300200239,3,31,1,0,-0.0008843541335393779
CLAG0300200120,3,35,3,0,-0.004803216991657422
CLAG0100100763,1,0,0,0,-0.04634830316790717
CLAG0200600812,2,534,12,1,-0.016266869427725594
CLAG0200601078,2,435,12,1,-0.0240004883361844
CLAG0200600487,2,337,12,1,-0.004878091945719976
CLAG0300400785,3,40,2,0,-0.029087646124025257
CLAG0200601129,2,505,12,1,-0.015486027082136311
CLAG0200100923,2,64,4,0,-0.006683388010284785
CLAG0200500343,2,324,10,1,-0.02063502827495378
CLAG0200600116,2,346,12,0,-0.021254266197426097
CLAG0200300832,2,170,6,1,-0.005009666579723793
CLAG0300601160,3,100,4,1,-0.015334695792616038
CLAG0100300109,1,0,0,0,-0.009695372873485764
CLAG0200600686,2,449,12,1,-0.021889358165755213
CLAG0300101138,3,0,2,1,-0.03244997716059117
CLAG0200500699,2,302,12,1,-0.005268021319431715
CLAG0200201012,2,85,3,0,-0.008985230854874793
CLAG0100300024,1,0,2,0,-0.0031574740415161173
CLAG0200600716,2,518,12,0,-0.006482613115857849
CLAG0100200914,1,0,2,0,-0.0034061998684785655
CLAG0100400959,1,0,0,0,-0.017293366980887126
CLAG0200101090,2,51,3,0,-0.07028199946549674
CLAG0300100827,3,98,3,1,-0.015816126573346412
CLAG0300600716,3,110,3,0,-0.10019749575619885
CLAG0100400103,1,0,0,0,-0.03596358199923433
CLAG0100200076,1,0,0,0,-0.023541308559218765
CLAG0100200960,1,0,0,1,-0.020460526955833447
CLAG0200600410,2,336,12,1,-0.051871412274557605
CLAG0200600988,2,519,12,1,-0.0038686450458130794
CLAG0300400184,3,74,2,1,-0.0521849722634683
CLAG0300100087,3,9,0,0,-0.029463156393190193
CLAG0100200724,1,0,0,0,-0.01876422671508493
CLAG0300200255,3,49,1,0,-0.0038589862656470686
CLAG0100400881,1,0,2,0,-0.005821716525172049
CLAG0100300551,1,0,1,0,-0.022610221337855174
CLAG0200600962,2,516,12,1,-0.0019221562419750038
CLAG0200601119,2,511,12,1,-0.011398885786746749
CLAG0300600756,3,37,3,0,-0.010932692308165182
CLAG0200601128,2,382,12,1,-0.03203975142760662
CLAG0300300024,3,94,5,1,-0.04624558519443678
CLAG0100400248,1,0,2,0,-0.021660927387217588
CLAG0200600731,2,533,12,1,-0.02034860700565011
CLAG0200600172,2,313,12,1,-0.03787182079156426
CLAG0100400091,1,0,0,0,-0.004312797149902847
CLAG0100300629,1,0,2,0,-0.04552198582024758
CLAG0200100287,2,85,3,1,-0.026827776114151214
CLAG0200600968,2,539,12,1,-0.0019384313297623468
CLAG0300600151,3,9,1,0,-0.0336908897262872
CLAG0300100664,3,71,3,0,-0.03153080694591204
CLAG0200500370,2,332,12,1,-0.00953566176744658
CLAG0200600619,2,442,12,1,-0.0007395097499552916
CLAG0200300565,2,175,6,1,-0.003426527113770006
CLAG0200600987,2,495,12,1,-0.028766685619081023
CLAG0200500678,2,357,12,1,-0.007040552930586252
CLAG0200600026,2,193,6,1,-0.002370302434488436
CLAG0200600345,2,349,12,1,-0.011241627323347103
CLAG0300101119,3,62,4,0,-0.01346278511713006
CLAG0200300691,2,101,4,1,-0.016099070723707976
CLAG0300600457,3,231,7,0,-0.001345661118466679
CLAG0300600601,3,114,4,0,-0.018762793626147523
CLAG0200600804,2,385,12,1,-0.027932011759379094
CLAG0100301172,1,0,2,0,-0.024108579221733706
CLAG0200200401,2,67,4,0,-0.0014308581050324065
CLAG0200100691,2,10,0,0,-0.011398552712698184
CLAG0200500540,2,312,11,1,-0.0033102235208221087
CLAG0200500758,2,320,12,1,-0.009657650900914638
CLAG0200601097,2,485,12,1,-0.04017517144107263
CLAG0100200855,1,0,2,0,-0.007664086532627068
CLAG0200300068,2,85,4,0,-0.026775835309427953
CLAG0200601070,2,498,12,1,-0.007064964730745138
CLAG0200600718,2,492,12,1,-0.009719736072734131
CLAG0200600611,2,539,12,1,-0.0026636440125034078
CLAG0300400452,3,48,2,0,-0.003058648758059057
CLAG0100100429,1,0,0,0,-0.006953085064845599
CLAG0200601165,2,458,12,1,-0.011423551068423299
CLAG0200201181,2,76,3,0,-0.01641619767969482
CLAG0200600497,2,477,12,1,-0.012348910486442266
CLAG0200601000,2,435,12,1,-0.0018931490499062287
CLAG0200600903,2,474,12,1,-0.0009493083851377371
CLAG0200600691,2,498,12,1,-0.012413690560912793
CLAG0100100977,1,0,2,0,-0.04041248470983816
CLAG0200200275,2,77,2,0,-0.013736885716417735
CLAG0100601021,1,85,3,0,-0.032504760724184956
CLAG0200501126,2,321,10,1,-0.0035794466460432606
CLAG0300200729,3,25,2,0,-0.003179069609858476
CLAG0200600675,2,432,12,1,-0.007774678298644866
CLAG0100200138,1,0,1,0,-0.010876366542963867
CLAG0100200607,1,0,0,1,-0.017311067323299123
CLAG0300301159,3,120,6,0,-0.029975768622099608
CLAG0100200689,1,0,2,0,-0.0010211959693899875
CLAG0300100009,3,117,4,1,-0.007651972280341868
CLAG0100400160,1,0,2,0,-0.0050500205996336645
CLAG0100300906,1,0,0,0,-0.007678770996539019
CLAG0200600692,2,397,12,0,-0.01863505825676759
CLAG0300600829,3,50,1,0,-0.012354317385947389
CLAG0200600160,2,330,12,1,-0.01986923722398848
CLAG0200501072,2,270,11,1,-0.0018250120874688802
CLAG0200300979,2,116,5,0,-0.008577736035560113
CLAG0200600758,2,472,12,1,-0.01071263678160883
CLAG0200200785,2,23,0,0,-0.048836132762125506
CLAG0300600512,3,176,7,0,-0.02698571339471234
CLAG0200200232,2,56,3,1,-0.030522285475314215
CLAG0100400202,1,0,0,0,-0.02126089940237963
CLAG0100400266,1,0,2,0,-0.02372545920661484
CLAG0200600868,2,425,12,1,-0.04137012885105196
CLAG0100400315,1,0,2,1,-0.027729865645985785
CLAG0200601172,2,465,12,1,-0.0072136406779692575
CLAG0200101044,2,85,4,1,-0.0007836595307207928
CLAG0300200648,3,14,1,0,-0.018942035269093438
CLAG0200500286,2,329,12,1,-0.02567961641049543
CLAG0200600659,2,469,12,1,-0.02546182071718195
CLAG0200600678,2,388,12,1,-0.009111656445888738
CLAG0300100118,3,7,2,0,-0.0661181068961062
CLAG0100300848,1,0,2,0,-0.060226543865006144
CLAG0300100632,3,214,9,1,-0.010785274395661237
CLAG0200601009,2,471,12,1,-0.008658185741275082
CLAG0100300130,1,0,2,0,-0.01541098100860916
CLAG0200300161,2,62,2,1,-0.04689036912839817
CLAG0200100234,2,76,4,1,-0.022500016034479597
CLAG0200600941,2,528,12,1,-0.02976525437920896
CLAG0200500623,2,318,11,1,-0.03259315791551931
CLAG0300200037,3,115,4,1,-0.013093838716019435
CLAG0200201116,2,73,3,0,-0.033352435536474934
CLAG0100400674,1,0,1,1,-0.05386382579071214
CLAG0300300528,3,32,2,1,-0.003281776262058611
CLAG0200101085,2,65,4,0,-0.013779815000403262
CLAG0300601003,3,68,3,0,-0.003264415053817693
CLAG0100500579,1,37,1,0,-0.0003407819394969369
CLAG0300600314,3,100,3,1,-0.031538306658438264
CLAG0100600333,1,63,2,0,-0.017467418836735416
CLAG0200600976,2,512,12,1,-0.0015298898935652838
CLAG0200601072,2,537,12,1,-0.05493829541494244
CLAG0200600717,2,531,12,1,-0.10317251559084839
CLAG0200600740,2,520,12,1,-0.015807220816606016
CLAG0200600880,2,389,12,1,-0.0110747222530172
CLAG0200500378,2,321,11,1,-0.024419016635609192
CLAG0200600791,2,529,12,1,-0.017320450461100867
CLAG0300200659,3,47,3,0,-0.06932352598718283
CLAG0100201000,1,0,1,1,-0.03920395492962869
CLAG0200600725,2,503,12,1,-0.008106919044224559
CLAG0100200348,1,0,0,0,-0.008757364561461922
CLAG0100200998,1,0,1,0,-0.040824951395041276
CLAG0100200043,1,0,2,0,-0.04935845535397276
CLAG0100300601,1,0,1,0,-0.004608242116389216
CLAG0200100009,2,10,0,1,-0.008381348943495182
CLAG0200100370,2,67,3,0,-0.01967120778129061
CLAG0200601061,2,457,12,1,-0.003995871044779276
CLAG0100300615,1,0,0,0,-0.020513249620067953
CLAG0200600576,2,471,12,1,-0.014222029248356804
CLAG0300500803,3,132,5,1,-0.0001585454497479155
CLAG0100300743,1,0,2,0,-0.00042679520180399777
CLAG0200600746,2,503,12,1,-0.005706402494325524
CLAG0200600059,2,333,12,0,-0.004107401193607196
CLAG0200600961,2,498,12,1,-0.0072614124471883645
CLAG0200100227,2,44,1,1,-0.038919202549874576
CLAG0200600668,2,482,12,1,-0.006073108542492989
CLAG0200500890,2,324,10,1,-0.0042555720154850984
CLAG0100300308,1,0,0,0,-0.00122982592218579
CLAG0200200428,2,55,3,0,-0.01866736444155903
CLAG0300500086,3,204,6,1,-0.002759799731779755
CLAG0200201136,2,57,1,0,-0.01798718878286476
CLAG0100400097,1,0,2,0,-0.03834565263366563
CLAG0300401008,3,35,3,0,-0.00793812359159507
CLAG0200500585,2,352,12,1,-0.04198540970249742
CLAG0100201162,1,0,1,0,-0.031139777084303044
CLAG0300600934,3,95,5,0,-0.0345522867764021
CLAG0300300384,3,41,3,0,-0.02000273331841862
CLAG0200600697,2,485,12,1,-0.004235100985787721
CLAG0200500863,2,359,12,1,-0.006733057932014175
CLAG0200600616,2,529,12,0,-0.01661739167774179
CLAG0100200165,1,0,2,1,-0.03927127965430066
CLAG0200600782,2,465,12,1,-0.019754394846419276
CLAG0200201171,2,76,2,0,-0.006996510072880824
CLAG0200100188,2,81,3,0,-0.03740458167863403
CLAG0300500181,3,64,2,0,-0.024997309084591524
CLAG0200600790,2,517,12,1,-0.03245989705481611
CLAG0100301056,1,0,1,0,-0.06708986232807268
CLAG0100300275,1,0,0,0,-0.014992194596367692
CLAG0200600420,2,357,12,1,-0.01344713897768468
CLAG0200500947,2,347,11,1,-0.0014562744415294038
CLAG0200600527,2,522,12,1,-0.008198017130912727
CLAG0200601056,2,376,12,1,-0.030386406905413388
CLAG0100400606,1,0,0,0,-0.036815034815553815
CLAG0100301188,1,0,0,0,-0.013848928043234121
CLAG0200601013,2,505,12,1,-0.0162971695310965
CLAG0100400164,1,0,1,0,-0.001003667379475326
CLAG0100301171,1,0,2,0,-0.033000815472428835
CLAG0200500669,2,231,8,1,-0.009293182633051122
CLAG0100200771,1,0,0,0,-0.05924912911428204
CLAG0100300132,1,0,2,0,-0.000511214387125869
CLAG0300100263,3,62,4,1,-0.006108102151074046
CLAG0100300752,1,0,1,0,-0.010119157789502564
CLAG0200200221,2,44,1,1,-0.02006867468543394
CLAG0200600362,2,299,9,1,-0.0241664933213116
CLAG0200200146,2,84,2,0,-0.05663013450095211
CLAG0300500258,3,253,10,1,-0.03831562561236934
CLAG0200301004,2,163,5,1,-0.09258187869310608
CLAG0200600674,2,477,12,1,-0.0006590519252794858
CLAG0200500884,2,339,12,1,-8.506498011373598e-05
CLAG0300500888,3,8,2,0,-0.0021640072632965746
CLAG0100300917,1,0,0,0,-0.0217834873595536
CLAG0200600680,2,529,12,1,-0.008309838403303127
CLAG0200600141,2,358,12,1,-0.0166854985944499
